Hospital Code,Notice Box HTML
BRIGHT,
SIGNAL," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
TRICTY,
WEST,"
<p>
<b>
Please Note:
</b>
Friday hours are 8-12pm and 2-6pm (closed 12-2pm)
</p>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CASTLE,
VDALE,"
<p>
*Sunday hours are for boarding checkouts only.
</p>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
WILKIN," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
WOODY,
WGATE,"
<p>
Closed Daily from 2:00pm-3:00pm for lunch.
</p>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
WRUFF," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
WSTSDE," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
WILLIS," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
BESTFR,"
<p>
<strong>
Please Note:
</strong>
The office is closed Tuesdays from 12:15pm - 1:30pm.
</p>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
ANCARE," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
AIKEN," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
AMCBAY," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
AMOUR," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
AMRICH,
BARHIL,"
<p>
<b>
Note:
</b>
We are closed between 12:00pm-1:30pm for lunch; we do not have doctors on staff during this time. Callers during this time will receive our after-hours message.
</p>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
BARRY," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
BEACHS," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
BEENUT," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
BEES," <p class=""holidayHours""><b>Holiday Hours:</b> We will be open normal business hours on Monday, September 2, 2024.</p>"
BENBOW,"
<p>
<b>
Please Note:
</b>
We are closed every first Tuesday of the month from 12:00pm-2:00pm for staff training.
</p>
"
AUGUST," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
AVERY," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
BAYPOR," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
BESTIE," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
ACADMY," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
AHWOOD,"
<p>
Drop-off for grooming is from 7:30 am - 9:00 am Monday-Friday only.
</p>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
ALSTAR," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
ARKFL," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
ASPAH,"<p class=""text-lead""><strong>Please Note:</strong> We will be closing at 3pm on July 11th.</p> <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
ATLVMG," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
AVONDL," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
BARBUR,"
<p>
We are closed from 11:15 am - 1:15 pm the first Wednesday of every month for our staff meeting.
</p>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
BETTYB," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
BLAIRS," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
BROAD,
ACREEK," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
BETPET," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
BAYS,
PMONT," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
OAKDLE,"
<p>
Saturday &amp; Sunday hours are for
<strong>
Boarding Drop-off / Pick-up ONLY
</strong>
</p>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
SANDLK," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
BREVAR," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
BSTONE,"<p><strong> Please Note: </strong> We are closed for all major holidays, including Memorial Day, July 4th, Labor Day, Thanksgiving, Christmas, and New Year's Day</p> <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
BUTTER," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CHESAP," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CHEIGH,
BRODIE," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
BUTLER,"
<p>
We will close at 5:00 PM on the 3rd Monday of every month for a staff meeting.
</p>
"
BLOCK,
BONNIE,"<p>
<b>
Please Note:
</b>
The office is closed on Wednesdays from 12:00pm-2:00pm
</p>"
BOYD," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
BRUNS," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CARMEL,"<p class=""text-lead"">Pet emergency on a Sunday? Come see us!</p>
<br/>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CHAN," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CHAND," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CHARST," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CHELSE,"
<p>
<b>
New Saturday Hours:
</b>
8am-12pm By Appointment Only
</p>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
COMMUN,"
<p><strong>Please Note:</strong> Drop off time for drop off appointments is from 8 - 9 AM</p> <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CENTAW," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
BLUFF,
BONDS,"
<p>Grooming is available by appointment.</p> <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
BRITAH," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CEDAR,"
<p>
<b>
Please Note:
</b>
Closed daily from 12:00pm-1:00pm to sanitize our hospital as a health and safety precaution.
</p>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
DODD," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CHIMNE,"
<span>
**We are open every 1st and 3rd Saturday of each month from 8 am-12 pm.
</span>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CIBOLO," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
COMMON," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CPARK," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
COASTL,
CEDARC,<p><strong> Please Note: </strong> We will be closed the 4th Thursday of every month from 9am - 10am for a staff meeting.</p>
ELECTY,
DOGCAT,"
<span>
**
</span>
<i>
Evening hours available by appointment on Mondays and Wednesdays.**
</i>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
DEERFL,"
<strong>
Please Note:
<span>
</span>
</strong>
<span>
We are closed from 12:30pm-2:00pm every Thursday for staff training.
</span>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
DELRAY," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
DENTON," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
ESIDE," 
Please Note: Our weekend hours are for boarding pick-up/drop-off only.

 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
FAMVET,"
<p style=""text-align: left;"">
<strong>
Please Note:
</strong>
Sunday hours for boarding pickups only.
</p>
<p style=""text-align: left;"">
</p>
<p style=""text-align: left;"">
*Every other Thursday our office closes from 11:30am-1:30pm for staff training.
</p>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
FARREL," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
FCREEK," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
FLOWER,
FOREST," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
PARKS," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
DCROSS,"
<span>
We are open every first and third Saturday.
</span>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
DURHAM," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
DOMINO,
FAITH," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
ENGLE,"
<p>Sunday hours: Boarding pick-up/drop-off &amp; retail only</p> <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
FULLER," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CROSBY," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
DOUBLE," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
DREAM," <p class=""holidayHours""><b>Holiday Hours:</b> We will be open normal business hours on Monday, September 2, 2024.</p>"
EBEACH," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CRESTR," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
CRESAR," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
FRIEND," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
DOERR,"
<strong>
Closed for lunch:
</strong>
<span>
12:00pm-1:00pm, Monday-Friday
</span>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
FIVE," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
FLTCRK,
NALL,"
<span>
Sunday (Boarding drop-off and pick-up only): 4:30pm-6:00pm.
</span>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
NDALLA," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
PFERRY," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
BUFORD,
CREST,
HILTOP," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
HIVILL," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
HOGMYR,"
<p>
Sunday hours for boarding pick-ups only.
</p>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
HURAC,
HERBST," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
JARREL," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
HRIDGE," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
HURST,"
<p>We will also be closed on Saturday, July 6th</p> <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
INMAN," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
JONES," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
JONESB,"
<span>
Sunday: Boarding pick-up/drop-off only from 5:00pm-5:45pm.
</span>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
NEARTN," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
HOOVES," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
GATEWY,
GLADE,
HENDER," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
HILSDE,
GTOWN," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
GOLDEN," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
GOODPR,"
<strong>
Please Note:
<span>
</span>
</strong>
<span>
Sunday hours for boarding pick-up only.
</span>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
GOODWN," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
GOOSE,
GRIFFI," 
Closed from 1pm-2pm on Wednesdays

 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
GWINN,"
<span>
*7:30am Drop-Off Service.
</span>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
HARBOR,
HARVST," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
HCREST,"
<strong>
We are closed on the following holidays:
</strong>
<span>
Memorial Day, Labor Day, Christmas Day, Thanksgiving Day, New Year's Day
</span>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
HELENA,"
<strong>
Please Note:
<span>
</span>
</strong>
<span>
Sunday hours for boarding pickups only.
</span>
"
HERSCH," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
HICKVH," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
HIGHWY," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
PINES,
PORTAC," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
LEGACY," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
LINDA," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
LOUDON,
LYNNAH,"
<p>
We ask that emergency and urgent care requests be made between 7:30am and 8:00am in the morning so that we can prioritize, schedule, and refer as needed.
</p>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
MELISS," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
NOWIND,
OAKISL,"
<span>
Closed from 12:30 pm to 1:30 pm for lunch each day.
</span>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
PCESP," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
PEVEPN," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
PFIRST," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
PLANT,"
<span>
Sunday: 4:00pm-5:00pm (Boarding Pickups only)
</span>
 <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
PLUM," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
POPLAR," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
POWHAT,"<p>Same-day appointments are welcome!</p> <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
KELLER," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
PCCHAL," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
JUNALU,
KENCO,
LIFE," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
MARCO,"
<p>
Our office will be closed every 3rd Tuesday of each month from 1:00pm-3:00pm for a staff meeting.
</p> <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
MCKIN," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
NGREEN," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
NORLAK,"
<span> URGENT CARE HOURS <br/> <strong> Saturday: </strong> 5:00pm-8:00pm <br/> <strong> Sunday: </strong> 7:00am-8:00pm </span>"
OLDTOW," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
PINHUR,"
<p class=""memDayHours""><strong>Holiday Hours:</strong> We will be closed on Memorial Day, 5/27/2024.</p> <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
PORTCH," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
POWER," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
JUNOB," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
KENTLN," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
KINDAH," <p class=""holidayHours""><b>Holiday Hours:</b> We will be closed on Monday, September 2, 2024.</p>"
